full_name,,,goals_overall,assists_overall,yellow_cards_overall
Aaron Cresswell,,,0,1,1
Aaron Lennon,,,1,1,1
Aaron Mooy,,,3,1,4
Aaron Ramsey,,,4,6,0
Aaron Rowe,,,0,0,0
Aaron Wan-Bissaka,,,0,3,5
Abdelhamid Sabiri,,,0,0,0
Abdoulaye Doucouré,,,5,6,7
Aboubakar Kamara,,,3,0,2
Adalberto Peñaranda Maestre,,,0,0,0
Adam David Lallana,,,0,0,1
Adam Masina,,,0,1,5
Adam Smith,,,1,1,6
Adama Diakhaby,,,0,0,1
Adama Traoré Diarra,,,1,1,1
Ademola Lookman,,,0,2,0
Adrian Mariappa,,,0,0,3
Adrián San Miguel del Castillo,,,0,0,0
Adrien Sebastian Perruchet Silva,,,0,0,0
Ainsley Maitland-Niles,,,1,1,3
Alberto Moreno,,,0,0,0
Aleksandar Mitrović,,,11,3,7
Alex Iwobi,,,3,6,0
Alex McCarthy,,,0,0,1
Alex Oxlade-Chamberlain,,,0,0,0
Alex Pritchard,,,2,0,2
Alex Smithies,,,0,0,0
Alexander Sørloth,,,0,0,0
Alexandre Lacazette,,,13,8,2
Alexandre Nascimento Costa Silva,,,0,0,0
Alexis Sanchez,,,1,3,3
Alfie Jones,,,0,0,0
Alfie Mawson,,,0,0,2
Alfie Whiteman,,,0,0,0
Ali Koiki,,,0,0,0
Alireza Jahanbakhsh,,,0,0,2
Alisson Becker,,,0,0,1
Alvaro Morata,,,5,0,3
Ander Herrera,,,2,3,4
André Filipe Tavares Gomes,,,1,1,7
Andre Gray,,,7,2,2
André Schürrle,,,6,0,2
André-Frank Zambo Anguissa,,,0,0,3
Andreas Christensen,,,0,0,1
Andreas Pereira,,,1,1,5
Andrew Robertson,,,0,11,4
Andrew Surman,,,0,0,2
Andriy Yarmolenko,,,2,0,2
Andros Townsend,,,6,4,1
Andy Carroll,,,0,0,2
Angel Gomes,,,0,0,0
Angelo Ogbonna,,,1,1,2
Angus Gunn,,,0,0,0
Anthony Driscoll-Glennon,,,0,0,0
